feature,abs_corr_with_log10_k
alkyne_family_cyclooctyne,0.7833532945355113
fused_aromatic_count_missing,0.7198715162798218
alkyne_family_biarylazacyclooctynone,0.38481198362198543
alkyne_family_bicyclononyne,0.3716379667743822
solvent_class_mixed,0.326948260739627
alkyne_family_azacyclooctyne,0.3181978285641553
fused_aromatic_count,0.26672687480556767
solvent_class_organic,0.25719900570078436
fluorine_count_missing,0.2533050866614795
alkyne_family_dibenzocyclooctyne,0.16432541194522393
temperature_K_missing,0.15963802877630798
alkyne_family_fluorinated_cyclooctyne,0.144294022117751
pH_missing,0.13502810460544892
fluorine_count,0.07690967942314639
heteroatom_in_ring_missing,0.04807462544309705
solvent_class_unknown,0.015170527338065003
solvent_class_aqueous,0.005596541747615621
alkyne_family_unknown,0.005596541747615621
yield_percent,0.0
ring_strain_level_missing,0.0
catalyst_present_missing,0.0
pH,0.0
Ea_kJ_mol,0.0
catalyst_present,0.0
temperature_K,0.0
yield_percent_missing,0.0
ring_strain_level,0.0
Ea_kJ_mol_missing,0.0
catalyst_none,0.0
heteroatom_in_ring,0.0
reaction_type_SPAAC,0.0
