record_id,catalyst_present,catalyst_present_missing,temperature_K,temperature_K_missing,pH,pH_missing,Ea_kJ_mol,Ea_kJ_mol_missing,yield_percent,yield_percent_missing,ring_strain_level,ring_strain_level_missing,fluorine_count,fluorine_count_missing,fused_aromatic_count,fused_aromatic_count_missing,heteroatom_in_ring,heteroatom_in_ring_missing,reaction_type_SPAAC,catalyst_none,solvent_class_aqueous,solvent_class_mixed,solvent_class_organic,solvent_class_unknown,alkyne_family_azacyclooctyne,alkyne_family_biarylazacyclooctynone,alkyne_family_bicyclononyne,alkyne_family_cyclooctyne,alkyne_family_dibenzocyclooctyne,alkyne_family_fluorinated_cyclooctyne,alkyne_family_unknown,log10_k,k_value,alkyne,rate_label,verification_status
rec001,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,1.0,0,2.0,1,1.0,1,True,True,False,False,True,False,False,False,False,True,False,False,False,-2.3665315444204134,0.0043,cyclooctyne compound 12,,primary_checked
rec002,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,1,2.0,1,1.0,1,True,True,False,False,True,False,False,False,False,True,False,False,False,-2.619788758288394,0.0024,free acid of cyclooctyne compound 1,,primary_checked
rec003,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,2.0,1,1.0,1,True,True,False,False,True,False,False,False,False,True,False,False,False,-2.886056647693163,0.0013,cyclooctyne compound 8,,primary_checked
rec004,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,2.0,1,1.0,1,True,True,False,False,True,False,False,False,False,True,False,False,False,-2.9208187539523753,0.0012,cyclooctyne compound 13,,primary_checked
rec005,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,2.0,0,0.0,0,1.0,1,True,True,False,False,False,True,False,False,False,False,False,True,False,-1.1191864077192086,0.076,DIFO,,primary_checked
rec006,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,1.0,0,True,True,False,False,False,True,True,False,False,False,False,False,False,-2.5228787452803374,0.003,"6,7-dimethoxyazacyclooct-4-yne (DIMAC)",,primary_checked
rec007,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,2.0,0,0.0,0,1.0,1,True,True,False,False,True,False,False,False,False,False,False,True,False,-1.3767507096020994,0.042,second-generation DIFO compound 2,,primary_checked
rec008,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,2.0,0,0.0,0,1.0,1,True,True,False,False,True,False,False,False,False,False,False,True,False,-1.2839966563652008,0.052,second-generation DIFO compound 3,,primary_checked
rec009,0,0,25.0,1,7.0,0,0.0,1,0.0,1,0.0,1,2.0,0,0.0,0,1.0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,-1.0457574905606752,0.09,second-generation DIFO compound 2,,primary_checked
rec010,0,0,25.0,1,7.0,0,0.0,1,0.0,1,0.0,1,2.0,0,0.0,0,1.0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,-1.0655015487564323,0.086,second-generation DIFO compound 3,,primary_checked
rec011,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,2.0,0,1.0,0,True,True,False,False,True,False,False,True,False,False,False,False,False,-0.017728766960431602,0.96,BARAC derivative 15,,needs_primary_check
rec063,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,1.0,1,True,True,False,False,False,True,False,False,True,False,False,False,False,-0.8538719643217619,0.14,endo-6 (bicyclo[6.1.0]non-4-yn-9-ol),,primary_checked
rec064,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,1.0,1,True,True,False,False,False,True,False,False,True,False,False,False,False,-0.958607314841775,0.11,exo-6 (bicyclo[6.1.0]non-4-yn-9-ol),,primary_checked
rec065,0,0,25.0,1,7.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,1.0,1,True,True,False,True,False,False,False,False,True,False,False,False,False,-0.5376020021010439,0.29,endo-6 (bicyclo[6.1.0]non-4-yn-9-ol),,primary_checked
